delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
shadowfax,pharmacy,ev bike,same day,central,stormy,209.1,44.49,12,8,yes,delayed,3,1278.97
amazon logistics,groceries,bike,two day,east,cold,23.6,11.44,2,16,no,delivered,4,152.32
ecom express,electronics,truck,express,east,clear,271.5,48.66,9,7,yes,delayed,2,1553.48
dhl,electronics,van,express,north,hot,243.3,29.34,6,6,yes,failed,1,1354.52
shadowfax,documents,van,two day,south,stormy,263.8,32.21,13,16,no,delivered,4,1415.63
fedex,pharmacy,ev van,same day,central,clear,52.3,12.6,3,8,no,delivered,3,399.3
ecom express,documents,bike,express,west,hot,176.4,17.98,6,5,yes,delayed,2,985.94
dhl,electronics,ev bike,same day,west,clear,279.9,5.67,9,8,yes,delayed,2,1516.51
blue dart,automobile parts,truck,express,west,clear,279.9,37.43,9,7,yes,delayed,3,1561.79
dhl,cosmetics,scooter,express,east,cold,112.1,17.82,4,4,yes,delayed,2,663.96
shadowfax,pharmacy,scooter,express,central,foggy,256.0,30.62,10,7,yes,delayed,2,1421.86
ecom express,documents,bike,standard,south,hot,139.3,38.71,6,24,no,delivered,5,812.63
amazon logistics,cosmetics,truck,express,south,stormy,25.6,30.29,5,2,yes,delayed,2,268.87
delhivery,automobile parts,truck,express,west,foggy,292.0,8.46,9,7,yes,delayed,3,1535.38
fedex,cosmetics,scooter,two day,east,rainy,93.3,6.45,5,16,no,delivered,5,485.85
blue dart,documents,van,same day,south,clear,87.2,22.33,1,8,no,delivered,4,602.99
dhl,groceries,ev van,same day,west,clear,270.1,21.76,6,8,no,delivered,4,1515.78
ecom express,automobile parts,ev bike,express,central,clear,223.4,16.69,7,6,yes,delayed,2,1217.07
ecom express,electronics,truck,standard,west,clear,109.7,3.06,2,24,no,delivered,4,557.68
blue dart,clothing,bike,express,east,cold,239.7,9.29,7,6,yes,delayed,2,1276.37
blue dart,electronics,truck,express,north,rainy,7.0,26.86,5,2,yes,delayed,3,165.58
xpressbees,pharmacy,van,express,central,cold,174.8,47.29,6,5,yes,delayed,3,1065.87
dhl,furniture,ev van,standard,central,rainy,81.9,11.45,8,24,no,delivered,4,443.85
dhl,clothing,scooter,standard,west,stormy,166.7,2.05,7,24,no,delivered,5,839.65
amazon logistics,automobile parts,ev van,same day,north,foggy,99.6,8.45,4,8,no,delivered,3,623.35
ecom express,furniture,ev van,two day,central,hot,216.4,29.76,7,16,no,delivered,5,1171.28
ecom express,documents,ev bike,two day,south,cold,191.0,9.3,4,16,no,delivered,3,982.9
amazon logistics,automobile parts,truck,same day,central,clear,216.0,7.41,9,8,yes,delayed,2,1202.23
ecom express,cosmetics,truck,same day,west,foggy,213.1,42.16,8,8,yes,failed,1,1291.98
xpressbees,clothing,ev van,same day,east,cold,224.6,29.18,10,8,yes,failed,1,1310.54
amazon logistics,fragile items,ev van,express,north,clear,295.2,46.99,8,7,yes,delayed,2,1632.7206
fedex,electronics,ev bike,express,east,hot,133.5,37.91,6,4,yes,delayed,3,831.23
delhivery,automobile parts,scooter,standard,north,rainy,227.1,15.69,11,24,no,delivered,5,1182.57
amazon logistics,groceries,van,standard,west,hot,67.2,28.99,2,24,no,delivered,4,422.97
ecom express,documents,ev bike,express,central,rainy,288.6,16.77,7,7,no,delivered,5,1543.31
ekart,electronics,bike,express,central,stormy,255.4,1.16,12,7,yes,failed,1,1330.48
dhl,automobile parts,ev bike,same day,west,stormy,29.9,21.91,6,8,no,delivered,4,315.23
shadowfax,pharmacy,van,two day,central,rainy,240.4,48.47,11,16,no,delivered,4,1347.41
shadowfax,pharmacy,truck,two day,central,stormy,175.7,39.92,10,16,no,delivered,5,998.26
xpressbees,fragile items,ev van,standard,central,clear,121.1,0.67,6,24,no,delivered,4,607.27
dhl,furniture,ev van,same day,north,clear,34.1,17.88,2,8,no,delivered,3,324.14
amazon logistics,documents,van,same day,central,hot,187.5,34.42,7,8,no,delivered,5,1140.76
amazon logistics,fragile items,ev bike,two day,north,stormy,157.4,33.99,8,16,no,delivered,4,888.97
ecom express,furniture,bike,express,south,stormy,250.8,12.32,11,7,yes,delayed,3,1340.96
shadowfax,documents,ev bike,express,south,rainy,119.6,20.25,6,4,yes,failed,2,708.75
delhivery,fragile items,bike,two day,central,clear,156.7,36.82,5,16,no,delivered,3,893.96
amazon logistics,fragile items,ev van,standard,north,hot,129.9,47.55,3,24,no,delivered,4,792.15
delhivery,documents,scooter,standard,central,rainy,24.8,16.32,7,24,no,delivered,4,172.96
blue dart,pharmacy,ev bike,same day,east,foggy,139.1,4.9,6,8,no,delivered,4,810.2
ekart,automobile parts,truck,express,north,cold,287.3,31.54,10,7,yes,delayed,2,1581.12
blue dart,fragile items,scooter,standard,central,cold,5.9,21.01,1,24,no,delivered,4,95.6674
xpressbees,clothing,ev van,two day,north,foggy,220.7,28.72,9,16,no,delivered,4,1189.66
dhl,fragile items,scooter,standard,south,foggy,127.6,14.83,9,24,no,delivered,5,682.49
blue dart,electronics,ev van,standard,south,cold,54.2,29.8,1,24,no,delivered,4,360.4
delhivery,pharmacy,truck,standard,west,foggy,204.9,7.91,6,24,no,delivered,3,1048.23
blue dart,furniture,van,two day,south,stormy,111.3,3.12,10,16,no,delivered,5,565.86
xpressbees,electronics,scooter,same day,west,clear,297.1,43.07,10,8,yes,failed,2,1632.7206
amazon logistics,cosmetics,bike,standard,north,cold,155.7,1.7,5,24,no,delivered,5,783.6
ekart,documents,ev bike,standard,north,rainy,124.6,19.75,10,24,no,delivered,4,682.25
delhivery,fragile items,ev bike,express,north,rainy,288.9,20.77,12,7,yes,delayed,2,1556.81
shadowfax,fragile items,ev van,two day,south,hot,86.3,23.57,5,16,no,delivered,5,502.21
amazon logistics,pharmacy,ev van,same day,east,cold,291.1,47.02,6,8,no,delivered,4,1632.7206
delhivery,pharmacy,scooter,two day,west,stormy,232.6,19.38,12,16,no,delivered,5,1221.14
amazon logistics,electronics,truck,express,west,cold,164.5,31.75,4,5,no,delivered,5,967.75
blue dart,automobile parts,ev van,same day,north,stormy,112.0,23.84,9,8,yes,delayed,2,731.52
ekart,cosmetics,truck,standard,south,foggy,21.5,32.71,4,24,no,delivered,5,205.63
shadowfax,groceries,ev bike,express,east,clear,282.8,48.76,9,7,yes,delayed,3,1610.28
delhivery,electronics,ev bike,express,south,foggy,191.6,45.6,5,5,yes,delayed,2,1144.8
ekart,furniture,ev van,standard,west,clear,158.0,46.02,3,24,no,delivered,4,928.06
blue dart,automobile parts,van,express,east,rainy,196.4,40.06,12,5,yes,delayed,3,1152.18
blue dart,fragile items,scooter,same day,south,foggy,266.4,31.91,11,8,yes,delayed,3,1527.73
xpressbees,electronics,ev van,same day,south,cold,90.1,31.11,3,8,no,delivered,3,643.83
ekart,cosmetics,van,standard,south,cold,156.0,29.53,4,24,no,delivered,3,868.59
delhivery,electronics,scooter,express,central,stormy,245.6,10.59,14,6,yes,delayed,3,1309.77
blue dart,groceries,truck,express,west,foggy,265.5,40.15,9,7,yes,delayed,2,1497.95
delhivery,furniture,ev van,express,east,foggy,213.7,34.69,8,6,yes,delayed,3,1222.57
shadowfax,electronics,ev bike,standard,east,cold,176.8,33.75,4,24,no,delivered,4,985.25
ecom express,clothing,van,standard,south,foggy,117.3,35.03,7,24,no,delivered,5,691.59
blue dart,fragile items,ev van,same day,east,cold,73.9,35.66,2,8,no,delivered,5,576.48
xpressbees,pharmacy,bike,express,central,foggy,193.5,8.3,10,5,yes,failed,1,1042.4
dhl,fragile items,ev van,same day,north,clear,214.5,44.66,4,8,no,delivered,4,1306.48
delhivery,pharmacy,scooter,same day,east,foggy,145.4,10.07,8,8,yes,delayed,2,857.21
xpressbees,furniture,scooter,same day,west,cold,283.9,31.74,7,8,no,delivered,4,1614.72
blue dart,electronics,scooter,same day,north,foggy,48.0,25.09,5,8,no,delivered,4,415.27
fedex,furniture,van,same day,east,hot,155.9,10.92,5,8,no,delivered,4,912.26
fedex,cosmetics,bike,standard,east,cold,202.3,45.55,6,24,no,delivered,4,1148.15
shadowfax,clothing,ev bike,standard,central,clear,282.8,19.73,8,24,no,delivered,5,1473.19
blue dart,furniture,bike,same day,south,cold,79.5,40.99,4,8,no,delivered,5,620.47
ekart,groceries,bike,standard,west,hot,74.1,20.22,3,24,no,delivered,4,431.16
xpressbees,fragile items,bike,two day,north,stormy,145.7,46.37,7,16,no,delivered,4,867.61
ecom express,clothing,ev van,express,east,foggy,211.2,1.66,8,6,yes,failed,1,1110.98
delhivery,electronics,bike,standard,south,hot,94.9,44.8,4,24,no,delivered,5,608.9
dhl,clothing,ev bike,same day,west,clear,153.1,46.74,3,8,no,delivered,5,1005.72
amazon logistics,clothing,truck,express,west,cold,39.2,42.33,3,2,yes,delayed,2,372.99
ekart,fragile items,ev bike,standard,south,rainy,279.3,28.67,12,24,no,delivered,5,1482.51
fedex,documents,van,standard,central,clear,59.8,49.36,3,24,no,delivered,3,447.08
ecom express,groceries,ev van,two day,east,hot,76.7,16.55,3,16,no,delivered,3,433.15
ecom express,documents,van,express,south,clear,127.8,34.48,6,4,yes,delayed,2,792.44
shadowfax,fragile items,scooter,express,west,rainy,42.4,28.53,3,2,yes,delayed,2,347.59
xpressbees,pharmacy,ev van,same day,east,rainy,286.7,8.62,16,8,yes,failed,1,1559.36
shadowfax,furniture,van,standard,east,cold,196.8,29.32,3,24,no,delivered,5,1071.96
ekart,fragile items,bike,express,north,rainy,198.4,19.91,10,5,yes,delayed,3,1101.73
amazon logistics,electronics,truck,same day,central,hot,61.1,6.99,2,8,no,delivered,3,426.47
delhivery,cosmetics,scooter,two day,south,stormy,102.7,15.32,6,16,no,delivered,3,559.46
delhivery,groceries,ev bike,express,east,stormy,58.7,0.67,7,3,yes,failed,1,344.55
shadowfax,groceries,bike,two day,north,hot,24.7,49.16,2,16,no,delivered,5,270.98
amazon logistics,clothing,ev bike,express,north,stormy,129.3,1.25,9,4,yes,failed,1,700.25
amazon logistics,electronics,ev bike,two day,west,rainy,138.2,23.04,7,16,no,delivered,5,760.12
xpressbees,cosmetics,bike,standard,north,cold,202.9,1.72,6,24,no,delivered,3,1019.66
dhl,fragile items,truck,standard,west,clear,133.3,21.95,5,24,no,delivered,4,732.35
dhl,automobile parts,truck,express,north,rainy,296.8,34.21,7,7,no,delivered,5,1632.7206
dhl,documents,ev van,two day,south,rainy,146.7,29.48,4,16,no,delivered,5,821.94
ekart,cosmetics,scooter,express,central,hot,135.3,26.31,3,4,no,delivered,3,805.43
dhl,clothing,van,standard,east,foggy,80.7,6.8,7,24,no,delivered,4,423.9
delhivery,fragile items,van,standard,south,foggy,184.7,24.59,6,24,no,delivered,3,997.27
ekart,pharmacy,van,express,north,clear,243.8,8.99,6,6,no,delivered,4,1295.97
ecom express,fragile items,ev van,express,central,cold,290.0,26.44,9,7,yes,delayed,2,1579.32
xpressbees,electronics,truck,same day,east,foggy,43.8,15.93,5,8,no,delivered,3,366.79
blue dart,cosmetics,bike,two day,east,clear,9.1,23.69,2,16,no,delivered,4,116.57
ekart,furniture,ev van,standard,west,rainy,293.4,8.89,7,24,no,delivered,5,1493.67
ekart,pharmacy,bike,two day,central,hot,125.6,14.05,4,16,no,delivered,4,670.15
ekart,furniture,ev van,two day,west,clear,202.4,29.82,6,16,no,delivered,5,1101.46
xpressbees,cosmetics,van,express,east,hot,285.0,11.83,9,7,yes,delayed,3,1510.49
ecom express,pharmacy,ev bike,standard,west,foggy,8.3,25.43,3,24,no,delivered,3,117.79
xpressbees,groceries,ev van,two day,central,stormy,52.4,45.21,8,16,no,delivered,3,397.63
fedex,groceries,ev van,two day,south,hot,238.1,0.67,8,16,no,delivered,3,1191.19
blue dart,electronics,bike,standard,west,rainy,204.9,35.63,10,24,no,delivered,4,1131.39
blue dart,cosmetics,van,two day,east,stormy,134.6,30.45,7,16,no,delivered,4,764.35
amazon logistics,cosmetics,bike,two day,south,clear,287.8,47.97,11,16,no,delivered,4,1582.91
xpressbees,pharmacy,truck,express,south,stormy,198.2,48.94,11,5,yes,delayed,2,1187.82
fedex,cosmetics,van,two day,east,hot,9.7,40.8,1,16,no,delivered,4,170.9
shadowfax,documents,ev van,standard,north,clear,31.4,42.74,1,24,no,delivered,3,285.22
amazon logistics,documents,truck,same day,south,clear,265.5,29.38,9,8,yes,delayed,2,1515.64
amazon logistics,automobile parts,van,same day,south,clear,287.6,20.64,6,8,no,delivered,3,1599.92
delhivery,automobile parts,bike,standard,north,cold,74.3,35.32,4,24,no,delivered,4,477.46
dhl,fragile items,scooter,two day,south,cold,68.1,8.31,1,16,no,delivered,5,365.43
delhivery,electronics,ev bike,two day,south,stormy,14.0,34.68,7,16,no,delivered,5,174.04
dhl,furniture,bike,express,north,stormy,35.6,29.3,8,2,yes,delayed,3,315.9
shadowfax,cosmetics,ev van,express,south,foggy,73.4,9.29,6,3,yes,failed,1,444.87
blue dart,electronics,truck,express,west,stormy,273.2,16.39,14,7,yes,delayed,2,1465.17
blue dart,automobile parts,truck,standard,east,rainy,41.3,9.87,2,24,no,delivered,5,236.11
fedex,fragile items,van,two day,south,foggy,23.9,7.84,3,16,no,delivered,5,143.02
fedex,documents,bike,two day,west,clear,293.8,19.78,10,16,no,delivered,5,1528.34
xpressbees,furniture,scooter,same day,north,stormy,33.6,45.88,7,8,no,delivered,4,405.64
delhivery,automobile parts,truck,express,central,cold,52.1,9.82,2,3,no,delivered,4,339.96
ekart,fragile items,van,same day,north,hot,158.7,5.41,6,8,no,delivered,5,909.73
amazon logistics,fragile items,scooter,express,east,stormy,82.1,48.22,7,3,yes,failed,1,605.16
xpressbees,automobile parts,ev bike,two day,west,rainy,125.3,22.93,7,16,no,delivered,4,695.29
ecom express,cosmetics,van,same day,west,hot,125.6,15.34,5,8,no,delivered,5,774.02
amazon logistics,automobile parts,van,standard,east,cold,172.8,31.25,8,24,no,delivered,4,957.75
amazon logistics,automobile parts,ev bike,two day,east,cold,6.8,44.92,1,16,no,delivered,4,168.76
fedex,electronics,bike,express,central,cold,243.5,40.75,7,6,yes,delayed,2,1389.75
ecom express,pharmacy,bike,same day,east,rainy,107.4,11.11,8,8,yes,delayed,2,670.33
dhl,groceries,scooter,same day,north,rainy,297.1,30.07,12,8,yes,failed,1,1632.7206
ecom express,furniture,bike,two day,east,clear,256.8,21.42,6,16,no,delivered,5,1348.26
dhl,clothing,van,express,north,cold,6.3,31.81,1,2,no,delivered,4,176.93
dhl,cosmetics,bike,standard,central,foggy,252.0,6.31,6,24,no,delivered,5,1278.93
xpressbees,fragile items,truck,standard,south,stormy,61.2,41.88,8,24,no,delivered,5,431.64
dhl,groceries,bike,same day,north,foggy,3.6,40.68,4,8,no,delivered,4,227.04
blue dart,cosmetics,scooter,express,west,hot,14.5,30.68,3,2,yes,delayed,3,214.54
ecom express,documents,scooter,same day,south,clear,258.0,4.92,9,8,yes,failed,1,1404.76
fedex,cosmetics,truck,two day,west,rainy,106.2,45.19,9,16,no,delivered,3,666.57
ecom express,electronics,van,express,west,foggy,99.6,34.69,6,3,yes,delayed,2,652.07
dhl,fragile items,ev bike,same day,east,clear,241.2,15.32,10,8,yes,delayed,2,1351.96
ecom express,groceries,ev bike,standard,south,stormy,297.1,31.82,10,24,no,delivered,4,1584.96
shadowfax,furniture,van,same day,south,hot,269.8,23.36,8,8,yes,delayed,2,1519.08
xpressbees,fragile items,bike,standard,north,clear,288.9,32.52,13,24,no,delivered,5,1542.06
xpressbees,electronics,ev van,standard,central,hot,27.4,28.89,2,24,no,delivered,4,223.67
blue dart,automobile parts,van,express,south,hot,123.1,10.92,4,4,no,delivered,5,698.26
amazon logistics,pharmacy,truck,standard,east,clear,73.9,23.12,4,24,no,delivered,4,438.86
ecom express,automobile parts,ev van,same day,north,foggy,185.8,27.06,5,8,no,delivered,3,1110.18
shadowfax,furniture,truck,express,east,hot,290.6,23.62,11,7,yes,failed,1,1573.86
ecom express,clothing,truck,express,south,stormy,289.9,27.19,11,7,yes,delayed,2,1581.07
amazon logistics,pharmacy,van,express,east,clear,199.7,2.36,5,5,no,delivered,5,1055.58
shadowfax,pharmacy,ev bike,same day,south,stormy,232.8,44.52,15,8,yes,delayed,2,1397.56
fedex,automobile parts,scooter,same day,west,rainy,262.1,19.56,10,8,yes,delayed,2,1469.18
amazon logistics,pharmacy,van,two day,central,foggy,132.9,33.26,7,16,no,delivered,4,764.28
blue dart,groceries,van,same day,west,clear,166.3,29.3,4,8,no,delivered,5,1019.4
shadowfax,clothing,bike,same day,central,hot,262.7,45.66,12,8,yes,delayed,2,1550.48
amazon logistics,documents,scooter,two day,east,rainy,118.2,42.48,6,16,no,delivered,4,718.44
ecom express,pharmacy,scooter,two day,north,stormy,113.2,38.58,10,16,no,delivered,5,681.74
ekart,groceries,bike,two day,south,foggy,250.2,28.36,8,16,no,delivered,4,1336.08
delhivery,groceries,ev bike,same day,north,clear,262.0,25.82,10,8,yes,delayed,2,1487.46
dhl,electronics,ev bike,two day,north,clear,228.4,17.5,4,16,no,delivered,3,1194.5
amazon logistics,automobile parts,ev van,two day,central,clear,140.8,17.35,6,16,no,delivered,4,756.05
fedex,fragile items,bike,standard,east,clear,124.2,8.47,2,24,no,delivered,5,646.41
delhivery,documents,van,two day,west,clear,36.3,17.73,3,16,no,delivered,4,234.69
blue dart,clothing,truck,standard,east,clear,97.4,39.02,3,24,no,delivered,4,604.06
dhl,fragile items,van,express,west,cold,70.4,28.22,3,3,no,delivered,4,486.66
dhl,fragile items,bike,two day,south,cold,56.6,24.02,4,16,no,delivered,5,355.06
blue dart,automobile parts,van,same day,east,foggy,225.4,41.63,10,8,yes,failed,2,1351.89
fedex,furniture,bike,same day,east,clear,198.4,33.39,6,8,no,delivered,5,1192.17
fedex,cosmetics,bike,same day,north,stormy,21.5,21.32,6,8,no,delivered,5,271.46
blue dart,cosmetics,ev bike,standard,east,hot,49.8,8.24,4,24,no,delivered,4,273.72
ekart,clothing,bike,two day,south,stormy,108.4,48.03,9,16,no,delivered,4,686.09
shadowfax,furniture,scooter,standard,east,foggy,132.3,11.67,7,24,no,delivered,4,696.51
ecom express,documents,ev van,express,east,foggy,255.2,37.24,7,7,no,delivered,4,1437.72
ecom express,cosmetics,ev van,standard,south,clear,12.7,1.25,2,24,no,delivered,4,95.6674
shadowfax,automobile parts,bike,same day,east,foggy,67.9,39.03,3,8,no,delivered,5,556.59
delhivery,electronics,van,two day,north,clear,265.8,35.58,9,16,no,delivered,3,1435.74
ecom express,electronics,van,two day,central,foggy,111.6,32.01,5,16,no,delivered,4,654.03
ecom express,documents,truck,standard,east,clear,67.8,11.65,4,24,no,delivered,3,373.95
ekart,clothing,ev bike,two day,north,rainy,175.3,44.83,7,16,no,delivered,4,1010.99
dhl,electronics,bike,standard,north,rainy,288.4,17.86,12,24,no,delivered,3,1495.58
delhivery,automobile parts,van,express,north,rainy,280.3,13.7,9,7,yes,delayed,3,1492.6
amazon logistics,pharmacy,scooter,express,south,clear,158.2,7.33,8,5,yes,delayed,2,862.99
xpressbees,cosmetics,ev van,express,central,stormy,32.0,27.71,6,2,yes,delayed,3,293.13
delhivery,pharmacy,scooter,standard,west,rainy,44.8,39.09,4,24,no,delivered,4,341.27
xpressbees,cosmetics,bike,express,central,hot,94.8,9.45,4,3,yes,failed,1,552.35
dhl,cosmetics,truck,express,east,stormy,258.5,24.61,13,7,yes,failed,1,1416.33
fedex,clothing,ev van,same day,south,rainy,240.0,44.73,11,8,yes,failed,2,1434.19
blue dart,clothing,ev bike,two day,south,rainy,292.9,36.39,11,16,no,delivered,4,1573.67
amazon logistics,furniture,bike,standard,south,clear,152.4,12.55,5,24,no,delivered,5,799.65
dhl,groceries,ev bike,express,central,cold,174.5,20.28,7,5,yes,delayed,2,983.34
amazon logistics,fragile items,scooter,two day,east,hot,95.5,5.66,4,16,no,delivered,5,494.48
blue dart,documents,bike,two day,central,stormy,153.9,3.81,10,16,no,delivered,4,780.93
shadowfax,documents,truck,same day,south,clear,217.4,35.46,7,8,no,delivered,4,1293.38
ekart,furniture,ev bike,two day,central,stormy,12.9,5.64,6,16,no,delivered,4,95.6674
ecom express,clothing,ev van,express,central,stormy,266.3,32.8,10,7,yes,delayed,2,1479.9
shadowfax,fragile items,truck,two day,east,cold,184.3,43.85,6,16,no,delivered,3,1053.05
xpressbees,electronics,van,standard,south,foggy,94.6,4.62,3,24,no,delivered,3,486.86
delhivery,fragile items,truck,same day,east,clear,97.5,11.04,4,8,no,delivered,5,620.62
xpressbees,pharmacy,scooter,same day,north,hot,297.1,2.38,8,8,yes,delayed,2,1594.14
delhivery,fragile items,bike,standard,north,foggy,90.2,31.24,4,24,no,delivered,5,544.72
dhl,documents,van,same day,east,hot,168.1,13.52,4,8,no,delivered,4,981.06
ekart,automobile parts,scooter,two day,central,cold,108.5,29.31,4,16,no,delivered,3,630.43
delhivery,fragile items,bike,same day,west,cold,166.6,37.97,7,8,no,delivered,5,1046.91
shadowfax,furniture,ev bike,standard,south,stormy,127.6,18.51,9,24,no,delivered,5,693.53
ekart,documents,ev van,same day,central,rainy,146.9,8.08,10,8,yes,delayed,3,858.74
fedex,clothing,ev bike,same day,east,stormy,24.8,3.9,6,8,no,delivered,4,235.7
xpressbees,clothing,ev van,same day,west,clear,20.0,29.59,2,8,no,delivered,5,288.77
blue dart,pharmacy,van,standard,central,stormy,256.2,3.44,15,24,no,delivered,3,1291.32
xpressbees,automobile parts,ev bike,express,north,stormy,255.0,34.62,8,7,yes,failed,2,1428.86
ekart,pharmacy,scooter,express,north,cold,293.6,3.11,7,7,no,delivered,4,1527.33
ekart,automobile parts,van,standard,west,foggy,184.5,14.23,9,24,no,delivered,4,965.19
shadowfax,cosmetics,bike,express,east,hot,91.3,40.15,2,3,no,delivered,4,626.95
shadowfax,cosmetics,truck,express,north,foggy,262.8,40.13,9,7,yes,delayed,3,1484.39
shadowfax,cosmetics,van,standard,north,stormy,284.4,14.37,14,24,no,delivered,4,1465.11
blue dart,automobile parts,truck,express,north,cold,88.6,24.43,2,3,no,delivered,5,566.29
shadowfax,fragile items,ev van,standard,east,foggy,125.4,30.71,6,24,no,delivered,5,719.13
ekart,clothing,bike,two day,south,foggy,152.2,28.68,5,16,no,delivered,5,847.04
ekart,pharmacy,van,standard,central,foggy,130.4,44.27,7,24,no,delivered,5,784.81
ecom express,furniture,van,standard,north,stormy,175.6,26.66,11,24,no,delivered,3,957.98
delhivery,fragile items,ev bike,express,east,clear,271.1,30.85,8,7,yes,delayed,2,1498.05
dhl,clothing,truck,same day,south,clear,274.7,33.5,6,8,no,delivered,5,1574.0
dhl,fragile items,ev bike,express,north,stormy,31.9,19.37,8,2,yes,delayed,2,267.61
ekart,furniture,ev van,standard,west,hot,215.2,42.03,5,24,no,delivered,4,1202.09
amazon logistics,automobile parts,scooter,express,west,clear,39.4,8.39,3,2,yes,delayed,3,272.17
fedex,fragile items,van,standard,north,foggy,98.5,35.58,4,24,no,delivered,3,599.24
xpressbees,groceries,van,express,east,hot,119.9,8.13,4,4,yes,delayed,2,673.89
dhl,fragile items,ev bike,express,east,rainy,272.8,11.33,13,7,yes,delayed,3,1447.99
ecom express,clothing,van,two day,north,cold,109.6,39.83,4,16,no,delivered,4,667.49
xpressbees,electronics,ev bike,express,south,foggy,180.8,31.98,6,5,yes,delayed,2,1049.94
ekart,furniture,scooter,same day,south,hot,190.5,31.37,8,8,yes,failed,1,1146.61
ecom express,groceries,ev van,standard,east,rainy,108.8,18.16,7,24,no,delivered,5,598.48
amazon logistics,clothing,van,express,east,cold,209.7,47.35,7,6,yes,delayed,2,1240.55
shadowfax,automobile parts,ev van,two day,east,stormy,158.6,16.28,11,16,no,delivered,4,841.84
delhivery,electronics,van,standard,west,foggy,97.8,8.02,8,24,no,delivered,3,513.06
shadowfax,pharmacy,bike,express,north,rainy,137.4,16.95,8,4,yes,failed,2,787.85
xpressbees,documents,scooter,express,north,hot,61.9,7.57,2,3,no,delivered,4,382.21
dhl,documents,van,express,central,foggy,11.1,48.98,4,2,yes,delayed,3,252.44
blue dart,clothing,bike,express,south,cold,110.1,46.26,4,4,yes,delayed,2,739.28
shadowfax,groceries,ev bike,two day,east,clear,275.2,38.69,7,16,no,delivered,4,1492.07
amazon logistics,cosmetics,van,standard,north,cold,114.6,36.55,4,24,no,delivered,5,682.65
ekart,documents,ev bike,express,central,rainy,265.9,4.41,8,7,yes,delayed,2,1392.73
fedex,cosmetics,ev van,express,west,clear,25.3,19.34,1,2,no,delivered,3,234.52
delhivery,furniture,bike,same day,central,foggy,141.9,14.77,5,8,no,delivered,3,853.81
xpressbees,fragile items,scooter,standard,central,rainy,89.0,4.49,7,24,no,delivered,5,458.47
amazon logistics,furniture,truck,same day,south,hot,125.7,42.1,3,8,no,delivered,5,854.8
xpressbees,groceries,ev van,same day,east,cold,209.9,46.51,5,8,no,delivered,3,1289.03
dhl,furniture,ev van,express,central,stormy,93.6,34.41,8,3,yes,delayed,2,621.23
delhivery,cosmetics,scooter,express,east,stormy,42.3,9.26,9,2,yes,delayed,2,289.28
fedex,furniture,scooter,standard,west,clear,13.2,43.25,1,24,no,delivered,5,195.75
ecom express,automobile parts,scooter,same day,east,rainy,91.0,36.63,4,8,no,delivered,5,664.89
delhivery,furniture,van,two day,east,stormy,215.4,4.39,13,16,no,delivered,3,1090.17
blue dart,documents,truck,two day,east,hot,141.4,34.64,5,16,no,delivered,3,810.92
amazon logistics,electronics,van,express,central,foggy,296.0,4.37,8,7,yes,delayed,3,1543.11
shadowfax,groceries,ev bike,express,east,hot,69.2,17.43,1,3,no,delivered,5,448.29
blue dart,electronics,van,express,east,foggy,273.7,2.24,6,7,no,delivered,4,1425.22
delhivery,electronics,truck,standard,east,cold,247.2,38.03,8,24,no,delivered,4,1350.09
dhl,groceries,truck,express,east,clear,232.8,29.01,7,6,yes,failed,1,1301.03
shadowfax,documents,scooter,standard,south,cold,209.1,22.72,6,24,no,delivered,5,1113.66
amazon logistics,fragile items,bike,standard,south,stormy,7.2,40.09,5,24,no,delivered,5,156.27
amazon logistics,cosmetics,scooter,express,west,cold,231.2,39.74,6,6,no,delivered,5,1325.22
fedex,fragile items,ev bike,two day,central,rainy,63.2,29.98,8,16,no,delivered,3,405.94
dhl,furniture,ev bike,two day,east,clear,90.8,0.67,2,16,no,delivered,3,454.93
ecom express,electronics,bike,two day,central,rainy,66.9,49.52,6,16,no,delivered,3,483.81
xpressbees,fragile items,van,two day,central,stormy,129.5,45.56,11,16,no,delivered,4,784.18
blue dart,furniture,ev bike,two day,north,hot,65.1,23.89,3,16,no,delivered,5,397.17
xpressbees,groceries,ev bike,same day,south,hot,256.1,43.59,7,8,no,delivered,3,1511.27
xpressbees,pharmacy,bike,standard,east,clear,204.3,17.58,4,24,no,delivered,5,1074.24
ekart,clothing,ev bike,two day,south,foggy,193.6,9.76,9,16,no,delivered,4,997.28
ecom express,furniture,ev bike,two day,north,hot,222.5,17.43,5,16,no,delivered,3,1164.79
ekart,pharmacy,bike,express,west,hot,95.8,39.88,2,3,no,delivered,3,648.64
fedex,cosmetics,van,same day,central,foggy,166.3,2.36,5,8,no,delivered,4,938.58
fedex,furniture,bike,express,south,foggy,193.3,45.28,7,5,yes,delayed,2,1152.34
xpressbees,automobile parts,truck,same day,south,rainy,169.4,44.77,8,8,yes,failed,1,1081.31
ecom express,automobile parts,ev van,standard,central,rainy,174.1,5.54,10,24,no,delivered,4,887.12
dhl,electronics,scooter,same day,north,stormy,19.4,19.56,5,8,no,delivered,3,255.68
dhl,electronics,van,same day,north,foggy,137.2,39.68,6,8,no,delivered,4,905.04
xpressbees,furniture,truck,two day,west,rainy,174.0,48.53,6,16,no,delivered,4,1015.59
